,paper-date,title,paragraph,sentence,source:ADJ,source:ADP,source:ADV,source:AUX,source:CCONJ,source:DET,source:INTJ,source:NOUN,source:NUM,source:PRON,source:PROPN,source:PUNCT,source:SCONJ,source:SYM,source:VERB,source:X,advmod,aux,cop,fixed,iobj,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,xcomp,ID
0,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,AD-lezers gezocht voor 4x4-avontuur.docx,8,2,,,,,,,,,,,,,,,vertel,,,,,ons,,,,,,tot slot ;in maximaal 250 woorden ,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP AD-lezers gezocht voor 4x4-avontuur.docx
1,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx,2,0,,,,,,,,,,,Fons,,,,,,,,,,,,we,,,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx
2,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx,9,3,,van,,,,,,,,,,,,,,,zelf,,,het;zijn,,,,,,van psychologe Ingeborg Bosch (42) ,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx
3,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx,13,2,,,,,,,,,,,,,,,plaatsnemen,,zelf;nooit,zullen,,,,,hij,,,in 'het huis van het leven' ,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Afgekickt ; Fons de Poel en de herontdekking van zijn ziel.docx
4,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx,4,0,,,,,,,,ontmoeting,,,,,,,,,,,,,,ons,,,,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx
5,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx,8,3,,,,,,,,tweetal,,,,,,,,,,,,,,,,,,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx
6,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx,11,1,,,,,,,,,,,,,,,werken,,,,,,,,Specialisten,,,"aan 'psychologische hervorming';, aldus de arts",,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP Bekeerde Chinezen ; Ex-aanhangers Falun Gong zijn nu voorbeeldige staatsburgers.docx
7,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,De koning te rijk.docx,3,4,,,,,,,,,,,,,,,komen,,zodoende,zijn,,,ons,,,,,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP De koning te rijk.docx
8,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,De koning te rijk.docx,,5,,,,,,,,,,,,,,,weten,,,,,,,,ik,,het,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP De koning te rijk.docx
9,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP,De koning te rijk.docx,4,0,,,,,,,,,,,,,,,zijn,,waar;ook,,,,,,ik,,,,,,AD_Algemeen Dagblad-date-2003-06-07-page-11.zip.ZIP De koning te rijk.docx
